timestamp,app_name,window_title,duration_seconds,end_time,mouse_clicks,key_presses
2026-02-15 10:23:00,VS Code,page.tsx - frontend,1948,2026-02-15 10:55:28,193,469
2026-02-15 11:08:00,Notion,Project Roadmap,2293,2026-02-15 11:46:13,80,452
2026-02-15 11:47:45,VS Code,api.ts - frontend/lib,1911,2026-02-15 12:19:36,134,2515
2026-02-15 12:21:03,Slack,#deployment - Team Workspace,1496,2026-02-15 12:45:59,29,122
2026-02-15 12:54:38,Notion,Meeting Notes - Weekly Sync,86,2026-02-15 12:56:04,59,368
2026-02-15 13:52:07,Google Chrome,MDN Web Docs - CSS Grid,409,2026-02-15 13:58:56,59,188
2026-02-15 14:05:48,Notion,Deployment Checklist,1941,2026-02-15 14:38:09,20,407
2026-02-15 14:40:29,Slack,#standup - Team Workspace,1728,2026-02-15 15:09:17,39,108
2026-02-15 15:22:18,VS Code,styles.css - frontend,1986,2026-02-15 15:55:24,25,1003
2026-02-15 15:58:07,Google Chrome,localhost:3000 - Activity Monitor,1887,2026-02-15 16:29:34,196,88
2026-02-16 08:22:00,Terminal,PowerShell - npm run dev,175,2026-02-16 08:24:55,20,167
2026-02-16 08:28:50,Google Chrome,Render Dashboard,1032,2026-02-16 08:46:02,246,199
2026-02-16 08:51:38,Spotify,Deep Focus - Spotify,1910,2026-02-16 09:23:28,3,0
2026-02-16 09:28:22,YouTube,Web Dev Simplified - React hooks,766,2026-02-16 09:41:08,5,1
2026-02-16 09:45:44,Terminal,PowerShell - docker compose up,590,2026-02-16 09:55:34,11,59
2026-02-16 10:07:45,Google Chrome,Tailwind CSS - Utility-First CSS Framework,2663,2026-02-16 10:52:08,83,140
2026-02-16 10:55:30,VS Code,insights.py - backend/api/routes,4718,2026-02-16 12:14:08,72,2444
2026-02-16 12:22:26,YouTube,TechWorld with Nana - Docker Tutorial,1755,2026-02-16 12:51:41,4,2
2026-02-16 13:01:22,Notion,Meeting Notes - Weekly Sync,509,2026-02-16 13:09:51,25,716
2026-02-16 13:18:03,Google Chrome,Tailwind CSS - Utility-First CSS Framework,2470,2026-02-16 13:59:13,280,133
2026-02-16 14:09:39,VS Code,Untitled-1 - VS Code,1058,2026-02-16 14:27:17,142,1142
2026-02-16 14:41:24,Slack,Direct Message - Project Lead,258,2026-02-16 14:45:42,30,90
2026-02-16 14:54:26,VS Code,insights.py - backend/api/routes,2277,2026-02-16 15:32:23,200,781
2026-02-16 15:42:02,Terminal,PowerShell - docker compose up,315,2026-02-16 15:47:17,17,160
2026-02-16 15:51:40,VS Code,insights.py - backend/api/routes,1443,2026-02-16 16:15:43,140,52
2026-02-16 16:26:56,Google Chrome,GitHub - luckyshukla8866-sv/activity-monitor,109,2026-02-16 16:28:45,195,454
2026-02-16 16:43:31,Google Chrome,Vercel – activity-monitor,267,2026-02-16 16:47:58,300,489
2026-02-16 16:50:18,VS Code,database.py - activity-monitor,4101,2026-02-16 17:58:39,199,2231
2026-02-16 18:12:43,VS Code,models.py - backend/api,1471,2026-02-16 18:37:14,145,726
2026-02-16 18:42:45,Google Chrome,MDN Web Docs - CSS Grid,2514,2026-02-16 19:24:39,118,480
2026-02-17 10:22:00,Google Chrome,localhost:3000 - Activity Monitor,2781,2026-02-17 11:08:21,201,229
2026-02-17 11:18:10,Google Chrome,Vercel – activity-monitor,1045,2026-02-17 11:35:35,42,178
2026-02-17 11:36:56,Slack,Direct Message - Sarah K.,501,2026-02-17 11:45:17,3,46
2026-02-17 11:58:21,Slack,#dev-backend - Team Workspace,498,2026-02-17 12:06:39,5,179
2026-02-17 12:08:51,Google Chrome,localhost:3000 - Activity Monitor,1170,2026-02-17 12:28:21,258,114
2026-02-17 13:17:50,Slack,Huddle - Team Sync,527,2026-02-17 13:26:37,29,107
2026-02-17 14:11:19,Google Chrome,Tailwind CSS - Utility-First CSS Framework,1713,2026-02-17 14:39:52,37,349
2026-02-17 14:52:01,Spotify,Chill Coding Playlist,1406,2026-02-17 15:15:27,4,2
2026-02-17 15:22:14,Notion,API Documentation,507,2026-02-17 15:30:41,29,214
2026-02-17 15:40:50,Google Chrome,Render Dashboard,1758,2026-02-17 16:10:08,152,241
